account_id,txn_count,total_amount,fraud_signal_count,risk_event_count,incoming_count,outgoing_count,first_step,last_step,fraud_rate,risk_rate,activity_score,activity_band,suspicion_score
C904300960,32,11303482.45,2,32,32,0,6,326,0.0625,1.0,0.733118592276555,Medium Activity,0.410811859227656
C200064275,33,6601096.88,2,33,33,0,10,449,0.0606060606060606,1.0,0.739627823134441,Medium Activity,0.41032641867708
C1013511446,35,22226171.13,2,35,35,0,9,402,0.0571428571428571,1.0,0.752074548954147,Medium Activity,0.409493169181129
C1018969803,10,2151826.86,1,10,10,0,19,490,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1048619563,10,7098662.0,1,10,10,0,131,661,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1053125376,10,1960262.67,1,10,10,0,123,683,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1072558316,10,2872150.6,1,10,10,0,236,699,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1072804612,10,4221612.37,1,10,10,0,249,652,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1088026094,10,3065869.28,1,10,10,0,52,710,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1112423132,10,1744670.8,1,10,10,0,207,637,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1112515195,10,1143954.72,1,10,10,0,208,373,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1118456791,10,1983469.43,1,10,10,0,230,409,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1131267206,10,1442776.48,1,10,10,0,201,520,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1138105020,10,2333923.2,1,10,10,0,156,398,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1148930688,10,1707543.3,1,10,10,0,44,307,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C115063912,10,3555972.09,1,10,10,0,127,695,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1157817503,10,2403440.66,1,10,10,0,186,626,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C119015629,10,1642250.28,1,10,10,0,208,550,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C119224307,10,1831063.52,1,10,10,0,212,394,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1201081149,10,15959945.65,1,10,10,0,228,495,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1212610718,10,2128146.18,1,10,10,0,207,639,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1223829389,10,1456333.2,1,10,10,0,104,332,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1224252499,10,4119026.62,1,10,10,0,216,353,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1225791278,10,4921205.59,1,10,10,0,118,686,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1259203714,10,3277137.32,1,10,10,0,235,684,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1262577882,10,1454424.42,1,10,10,0,10,352,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1265655539,10,1582747.81,1,10,10,0,40,495,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1265892323,10,17265455.46,1,10,10,0,235,538,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1266885726,10,1442794.63,1,10,10,0,131,398,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1282311771,10,4138547.34,1,10,10,0,214,522,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1286348462,10,3472913.93,1,10,10,0,210,619,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1288737458,10,1779752.61,1,10,10,0,248,587,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1301956941,10,2000738.5,1,10,10,0,33,594,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1310890311,10,6544542.23,1,10,10,0,140,578,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1354064635,10,4490652.58,1,10,10,0,323,608,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1363477592,10,7024052.92,1,10,10,0,82,352,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1370530926,10,1872128.81,1,10,10,0,66,370,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1384210339,10,2053977.1,1,10,10,0,1,351,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1391104856,10,2399063.01,1,10,10,0,154,538,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1394632446,10,3778943.69,1,10,10,0,184,350,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1410026148,10,4244018.78,1,10,10,0,229,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1418628619,10,1895528.1,1,10,10,0,17,396,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1429618952,10,1197136.87,1,10,10,0,252,399,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1436350970,10,4973651.26,1,10,10,0,163,600,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1443003835,10,3233367.5,1,10,10,0,164,328,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1449860779,10,1704724.46,1,10,10,0,184,372,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1451224315,10,2595494.68,1,10,10,0,201,495,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1468356154,10,11955182.59,1,10,10,0,82,383,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1482523414,10,2101622.97,1,10,10,0,277,404,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1486382672,10,1783679.85,1,10,10,0,119,405,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1498366839,10,4114566.93,1,10,10,0,254,637,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1525357904,10,2369148.77,1,10,10,0,207,522,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1529736160,10,1517756.88,1,10,10,0,35,372,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1536033650,10,2241755.5,1,10,10,0,235,394,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1543571230,10,1389738.76,1,10,10,0,134,377,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1552135476,10,3791080.81,1,10,10,0,180,612,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1562052816,10,9282249.62,1,10,10,0,41,384,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1565972600,10,6840628.91,1,10,10,0,162,705,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1574358644,10,2552426.49,1,10,10,0,65,369,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1581175229,10,3883750.83,1,10,10,0,208,394,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1582355721,10,3529318.14,1,10,10,0,194,478,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1583623584,10,1216442.5,1,10,10,0,67,428,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1596015733,10,1151712.66,1,10,10,0,210,573,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1597258791,10,14668106.05,1,10,10,0,53,692,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1601875596,10,3626636.2,1,10,10,0,186,590,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C160460815,10,1587717.86,1,10,10,0,18,469,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1612235515,10,2027671.65,1,10,10,0,18,570,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1616201785,10,3053837.3,1,10,10,0,208,692,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1616326954,10,2080289.6,1,10,10,0,139,431,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1630335689,10,1386995.71,1,10,10,0,104,525,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1633571527,10,1405096.33,1,10,10,0,127,707,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1677685761,10,11440308.75,1,10,10,0,132,702,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1681760048,10,1445941.95,1,10,10,0,184,567,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1683886957,10,2189771.78,1,10,10,0,134,378,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C168611895,10,3149716.28,1,10,10,0,136,586,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1686203571,10,3412587.87,1,10,10,0,164,378,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1686770786,10,32150524.88,1,10,10,0,249,380,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1692377188,10,1676907.54,1,10,10,0,279,537,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C170080123,10,1491040.58,1,10,10,0,18,325,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1705027319,10,2315508.39,1,10,10,0,140,547,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1707633180,10,5825704.85,1,10,10,0,179,691,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1707908238,10,861288.07,1,10,10,0,255,531,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1708120011,10,7909603.52,1,10,10,0,208,525,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1733162010,10,2382435.83,1,10,10,0,97,471,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1736477135,10,1978835.35,1,10,10,0,135,405,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1750636426,10,3757664.78,1,10,10,0,47,395,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1795644557,10,11256955.49,1,10,10,0,235,683,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1801176562,10,11189750.56,1,10,10,0,161,710,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1805553546,10,4409649.54,1,10,10,0,16,401,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1815135338,10,1456218.11,1,10,10,0,185,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1824270535,10,2405726.61,1,10,10,0,186,356,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1825454306,10,1879165.3,1,10,10,0,62,661,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1827237197,10,6242547.69,1,10,10,0,117,681,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1835087777,10,8810074.02,1,10,10,0,58,378,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1852367071,10,1517672.08,1,10,10,0,131,643,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1857425198,10,1716812.58,1,10,10,0,138,590,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1873143762,10,9576661.71,1,10,10,0,135,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C187881338,10,1737927.7,1,10,10,0,134,687,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1882225131,10,2565602.96,1,10,10,0,159,396,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C189328986,10,4220344.37,1,10,10,0,154,587,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1897800945,10,3652315.29,1,10,10,0,163,525,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1908319524,10,2670591.74,1,10,10,0,48,300,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1924984729,10,1593058.48,1,10,10,0,137,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1938541482,10,2354964.31,1,10,10,0,158,592,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1943218565,10,1412937.67,1,10,10,0,157,577,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C194390242,10,1323249.76,1,10,10,0,191,408,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1955341893,10,9196550.41,1,10,10,0,208,687,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1970513105,10,3313193.45,1,10,10,0,269,379,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1985698288,10,1977464.57,1,10,10,0,33,603,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C1985999765,10,4177579.07,1,10,10,0,139,408,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2002670560,10,1859877.01,1,10,10,0,256,573,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2008752241,10,5405116.11,1,10,10,0,101,644,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2009518683,10,1477637.39,1,10,10,0,64,405,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2017288249,10,4430891.03,1,10,10,0,135,680,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2017325306,10,1950930.74,1,10,10,0,170,644,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2020707965,10,1156636.93,1,10,10,0,208,672,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2027691361,10,2181891.49,1,10,10,0,128,688,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2040166984,10,1301287.62,1,10,10,0,121,372,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2045743358,10,4355249.67,1,10,10,0,207,698,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2046106901,10,1725952.7,1,10,10,0,154,597,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2048724307,10,2748503.89,1,10,10,0,34,697,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2055772170,10,2411352.68,1,10,10,0,236,407,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2058049748,10,2338311.57,1,10,10,0,208,394,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2061604304,10,2778755.07,1,10,10,0,159,400,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2083128008,10,2411461.48,1,10,10,0,179,398,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2083130101,10,1497454.51,1,10,10,0,37,308,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2095500377,10,2861213.41,1,10,10,0,273,538,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2103550727,10,7022803.19,1,10,10,0,99,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2113246492,10,2402940.48,1,10,10,0,154,379,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2124012245,10,1571851.65,1,10,10,0,44,546,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2129924670,10,1295312.72,1,10,10,0,188,608,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C2133429010,10,2176154.13,1,10,10,0,41,448,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C217315121,10,2788503.56,1,10,10,0,163,461,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C222850866,10,4071320.5,1,10,10,0,162,407,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C229248099,10,2585183.18,1,10,10,0,104,383,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C240278716,10,755605.21,1,10,10,0,16,375,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C243227440,10,12904128.89,1,10,10,0,136,395,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C244995848,10,1667204.07,1,10,10,0,138,408,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C248286792,10,1818590.3,1,10,9,1,136,395,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C258745277,10,6720923.96,1,10,10,0,131,366,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C27593268,10,1914518.53,1,10,10,0,147,404,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C299514580,10,5393232.63,1,10,10,0,209,522,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C329030670,10,1574297.36,1,10,10,0,18,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C349558333,10,2439420.61,1,10,10,0,156,636,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C354861131,10,1277209.16,1,10,10,0,156,404,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C375267568,10,2572585.45,1,10,10,0,121,686,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C377820093,10,5519537.46,1,10,10,0,180,429,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C403681217,10,2333235.07,1,10,10,0,227,550,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C414219779,10,3014540.0,1,10,10,0,146,358,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C467148053,10,3028931.48,1,10,10,0,182,404,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C467413357,10,3790843.89,1,10,10,0,191,404,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C480398193,10,1769444.39,1,10,10,0,250,594,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C503187558,10,2640112.13,1,10,10,0,163,379,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C513722658,10,2374383.66,1,10,10,0,182,403,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C531695406,10,3509744.45,1,10,10,0,133,401,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C5325998,10,9028489.66,1,10,10,0,211,597,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C54612631,10,6347166.5,1,10,10,0,135,330,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C548284315,10,1195919.51,1,10,10,0,101,695,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C570435842,10,2547044.11,1,10,10,0,74,596,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C574402846,10,5117417.65,1,10,10,0,192,492,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C580058151,10,2239761.3,1,10,10,0,35,383,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C580353147,10,1389728.78,1,10,10,0,185,408,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C581627997,10,5058965.17,1,10,10,0,134,495,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C585834595,10,1310320.12,1,10,10,0,11,207,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C592943127,10,2192796.96,1,10,10,0,156,714,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C617888697,10,3545860.82,1,10,10,0,43,404,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C628228012,10,2318756.17,1,10,10,0,186,706,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C629818525,10,10888976.83,1,10,10,0,124,299,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C652970534,10,2282311.7,1,10,10,0,125,375,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C683421609,10,2473337.34,1,10,10,0,185,624,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C70360442,10,3453803.45,1,10,10,0,36,695,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C705527703,10,1366763.55,1,10,10,0,164,400,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C70652634,10,38006278.62,1,10,10,0,231,399,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C71447859,10,2312240.48,1,10,10,0,39,652,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C714852776,10,2316062.3,1,10,10,0,188,449,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C727304314,10,1404738.97,1,10,10,0,156,402,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C72945971,10,3697208.03,1,10,10,0,232,522,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C73237279,10,6868063.93,1,10,10,0,183,402,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C753313241,10,1437787.97,1,10,10,0,137,522,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C795947524,10,3587929.64,1,10,10,0,35,611,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C802302527,10,2482126.46,1,10,10,0,41,331,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C830333385,10,3505602.57,1,10,10,0,140,612,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C835636847,10,4806148.03,1,10,10,0,204,520,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C836948657,10,3884963.43,1,10,10,0,196,398,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C842496101,10,1467404.83,1,10,10,0,16,538,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C863881747,10,5483189.0,1,10,10,0,148,692,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C865727492,10,4124314.06,1,10,10,0,85,255,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C872339657,10,1971476.38,1,10,10,0,132,490,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C881850638,10,3074829.19,1,10,10,0,183,460,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C892636220,10,5087897.46,1,10,10,0,59,380,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C899155690,10,3548660.01,1,10,10,0,226,596,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C908283595,10,1962393.93,1,10,10,0,144,374,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C908864570,10,2366470.21,1,10,10,0,69,346,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C925758982,10,4938508.4,1,10,10,0,43,287,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C931026278,10,2225871.65,1,10,10,0,254,681,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C951611415,10,9125505.52,1,10,10,0,143,684,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C955198432,10,1527204.54,1,10,10,0,186,395,0.1,1.0,0.487073449713553,Low Activity,0.408707344971355
C410033330,48,24450707.13,2,48,48,0,4,350,0.0416666666666667,1.0,0.818887969289209,Medium Activity,0.406888796928921
C1009036787,11,3487808.8,1,11,11,0,217,596,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1018310032,11,2464466.1,1,11,11,0,44,522,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1036108574,11,12030381.03,1,11,11,0,135,421,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1045906528,11,5776109.16,1,11,11,0,249,687,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C105806122,11,9876248.25,1,11,11,0,203,373,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1059308371,11,2930643.39,1,11,11,0,38,398,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1084363667,11,1759762.83,1,11,11,0,139,369,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1106468520,11,1534588.37,1,11,11,0,181,399,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1114367477,11,2499133.13,1,11,11,0,125,492,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1125025410,11,1771195.33,1,11,11,0,104,370,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1133952211,11,2430900.53,1,11,11,0,153,525,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1166671647,11,11432725.43,1,11,11,0,161,297,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1179424644,11,2787364.48,1,11,11,0,162,578,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1203056408,11,1500195.01,1,11,11,0,61,517,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1214752539,11,13517356.41,1,11,11,0,46,305,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1232537312,11,2558712.62,1,11,11,0,284,691,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1236162256,11,1721731.63,1,11,11,0,37,403,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1248865150,11,1337449.05,1,11,11,0,136,355,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C12493912,11,1937357.22,1,11,11,0,134,380,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1249564972,11,5106095.76,1,11,11,0,179,660,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1254045006,11,1886299.34,1,11,11,0,179,673,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1265131322,11,1884146.53,1,11,11,0,71,404,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1278181974,11,5633259.28,1,11,11,0,58,404,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1283356428,11,3381066.01,1,11,11,0,260,399,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1331429328,11,2096903.77,1,11,11,0,163,457,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C133285167,11,7939212.87,1,11,11,0,136,461,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1347472124,11,5730076.06,1,11,11,0,129,349,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1366553935,11,1753711.7,1,11,11,0,40,571,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
C1370100102,11,16776499.52,1,11,11,0,235,401,0.0909090909090909,1.0,0.507234727666476,Low Activity,0.405268927312102
