step,txn_count,total_amount,fraud_signal_count,fraud_rate
188,39079,4675322824.45,10,0.000255891911256685
189,17674,2001807262.67,10,0.000565802874278601
190,12669,1350395827.22,8,0.000631462625305865
191,9111,886835789.38,12,0.00131708923279552
192,4314,409379744.14,10,0.00231803430690774
193,1511,136595891.1,8,0.00529450694904037
194,671,58442261.13,12,0.0178837555886736
195,141,20572775.97,10,0.0709219858156028
196,8,4998965.94,8,1.0
197,4,4894973.5,4,1.0
198,12,39553204.84,12,1.0
199,10,10151804.44,10,1.0
200,8,26179145.6,8,1.0
201,17963,2444701645.21,8,0.00044535990647442
202,31949,4604339087.28,2,6.2599768380857e-05
203,36176,5277176879.03,8,0.000221141088014153
204,36856,5284768973.08,6,0.000162795745604515
205,33549,5365333264.48,16,0.000476914364064503
206,29777,4206648534.99,12,0.00040299560063136
207,28288,4078718390.73,6,0.00021210407239819
208,29058,4081255354.45,21,0.000722692545942598
209,30372,4141703465.12,6,0.000197550375345713
210,33004,4369134560.91,8,0.000242394861228942
211,36889,4763104506.09,14,0.000379516929165876
212,34047,4386135424.32,40,0.00117484653567128
213,14775,1876024774.84,8,0.000541455160744501
214,10746,1331914190.0,12,0.00111669458403127
215,7975,1040812156.91,10,0.00125391849529781
216,4130,514605168.46,6,0.00145278450363196
217,3347,412718375.86,16,0.00478040035853003
218,12,22237883.98,12,1.0
219,10,8562844.34,10,1.0
220,6,9687097.08,6,1.0
221,10,5286186.14,10,1.0
222,8,5949300.24,8,1.0
223,8,6587448.48,8,1.0
224,10,20234992.58,10,1.0
225,18366,3585708429.11,12,0.000653381247958184
226,27522,6125641173.05,12,0.000436014824504033
227,30871,6004298462.84,14,0.000453500048589291
228,30965,5912909516.1,16,0.000516712417245277
229,28304,5042346774.47,8,0.000282645562464669
230,26034,4431692044.84,17,0.000652992240915726
231,26968,4651274087.59,17,0.000630376742806289
232,27482,4836628260.07,10,0.000363874536059967
233,14703,2401809316.28,12,0.000816159967353601
234,34053,5373207185.74,14,0.000411123836372713
235,47491,7298145078.92,10,0.000210566212545535
236,37109,4564006648.72,10,0.000269476407340537
237,16003,1868247705.8,12,0.000749859401362245
238,10920,1211714724.47,14,0.00128205128205128
239,8554,931485164.92,10,0.00116904372223521
240,4189,459973475.4,14,0.00334208641680592
241,1865,180380700.47,18,0.0096514745308311
242,637,65930719.52,8,0.0125588697017268
243,8,16247876.12,8,1.0
244,12,27299325.08,12,1.0
245,4,1624691.78,4,1.0
246,4,1692137.58,4,1.0
247,8,6475558.04,8,1.0
248,10,28243774.7,10,1.0
249,23209,3792800922.78,28,0.00120642854065233
250,31854,6326260900.29,22,0.000690651095623784
251,35269,5771315721.23,10,0.000283535115824095
252,35590,5854918089.56,2,5.61955605507165e-05
253,33311,5942227724.38,10,0.000300201134760289
254,29553,4521637821.26,10,0.000338375122660982
255,28840,3974800979.95,8,0.000277392510402219
256,28570,3918809333.85,8,0.000280014000700035
257,26843,3605125811.29,6,0.000223521961032671
258,27662,3583780336.6,8,0.000289205408141132
259,43328,5076897554.77,10,0.000230797636632201
260,33674,3787449731.79,12,0.000356358021025123
261,14420,1569022159.21,20,0.0013869625520111
262,11125,1221492417.02,22,0.00197752808988764
263,8021,685238193.2,6,0.000748036404438349
264,4042,368989231.13,8,0.00197921820880752
265,1581,144773162.36,12,0.00759013282732448
266,767,105005135.03,10,0.0130378096479791
267,77,54389457.77,8,0.103896103896104
268,6,8090414.72,6,1.0
269,14,30786900.72,14,1.0
270,16,7453709.26,16,1.0
271,12,21611875.28,12,1.0
272,12,14762929.3,12,1.0
273,7871,1057528069.92,20,0.00254097319273282
274,19202,2826244635.49,20,0.00104155817102385
275,24797,3508304287.57,10,0.000403274589668105
276,26383,4412622274.43,10,0.000379031952393587
277,25925,4044242654.87,14,0.000540019286403086
278,25737,4022655172.18,4,0.00015541826941757
279,25925,4231256216.76,22,0.000848601735776278
280,25956,4068126710.03,4,0.000154106950223455
281,27778,4504317592.53,18,0.000647994816041472
282,31118,5081155730.24,18,0.000578443344687962
283,36644,6258571159.98,8,0.000218316777644362
284,33449,5923047332.08,16,0.000478340159646028
285,14266,2842978700.69,16,0.00112154773587551
286,11333,2435387156.5,8,0.000705903114797494
287,6889,1444658464.92,10,0.00145158949049209
288,4018,940528731.73,10,0.00248880039820806
289,1437,200942836.62,12,0.00835073068893528
290,487,52148206.04,8,0.0164271047227926
291,44,55410020.12,10,0.227272727272727
292,8,6010883.12,8,1.0
293,4,1529597.5,4,1.0
294,18,26816796.08,18,1.0
295,10,13248845.16,10,1.0
296,22,49873410.0,22,1.0
297,20609,6011228116.56,8,0.000388179921393566
298,29579,9417978632.75,4,0.000135231076101288
299,31940,8851568808.7,10,0.000313087038196619
300,31176,9602057363.44,8,0.000256607646907878
301,30881,8875641423.12,4,0.000129529484148829
302,29127,9284963497.21,8,0.000274659250866893
303,24714,11724714959.12,14,0.000566480537347253
304,26697,24963550343.94,2,7.49147844327078e-05
305,34595,19005246565.95,14,0.000404682757623934
306,43615,7955426526.72,12,0.00027513470136421
307,46968,8512005039.48,16,0.000340657468915006
308,36983,6343967072.68,6,0.000162236703350188
309,15147,2901153885.82,8,0.000528157390902489
310,11393,2351222355.06,10,0.000877731940665321
311,9863,1843736745.94,16,0.00162222447531177
312,3266,622626160.82,10,0.00306184935701163
313,1305,264148736.08,10,0.00766283524904215
314,512,70940145.76,6,0.01171875
315,12,33201719.3,12,1.0
316,12,9279425.26,12,1.0
317,20,6354087.94,20,1.0
318,6,3384709.38,6,1.0
319,8,12220382.46,8,1.0
320,14,20764447.78,14,1.0
321,17768,4616167707.85,8,0.00045024763619991
322,27147,7614594107.81,16,0.000589383725641876
323,29884,7861111520.1,10,0.000334627225271048
324,29430,7306624172.49,10,0.000339789330615019
325,27901,7416314396.78,10,0.000358410092828214
326,26655,8548289956.85,14,0.000525229788032264
327,25183,14324072141.33,10,0.000397093277210817
328,26877,11647709104.03,18,0.000669717602410983
329,32161,6102660553.07,6,0.000186561363141693
330,36682,5933645454.24,10,0.000272613270814023
331,40186,6407948389.01,6,0.000149305728363112
332,36156,5232580956.62,6,0.00016594756057086
333,14553,2519375123.84,8,0.000549714835429121
334,12016,1965439321.87,4,0.00033288948069241
335,10456,1650698226.65,4,0.000382555470543229
336,2932,469835508.28,18,0.00613915416098226
337,320,37511725.73,10,0.03125
338,529,54096226.84,4,0.00756143667296786
339,10,4839777.76,10,1.0
340,10,20576578.26,10,1.0
341,10,9681273.68,10,1.0
342,14,2872763.5,14,1.0
343,12,5299923.58,12,1.0
344,6,5246154.58,6,1.0
345,14670,3775109118.91,12,0.00081799591002045
346,26073,5826660716.37,6,0.000230123115866989
347,30222,6964456131.76,0,0.0
348,29467,7929207505.03,8,0.000271490141514236
349,29552,5701716349.72,18,0.000609095831077423
350,28245,5640295178.53,14,0.000495662949194548
351,26927,5172213957.19,18,0.000668474022356742
352,27139,5047833554.76,16,0.000589557463429014
353,30420,6779388634.99,8,0.000262984878369494
354,40696,6965215256.25,12,0.000294869274621584
355,44787,7234253609.7,8,0.000178623261214192
356,33528,4693535568.26,6,0.000178954903364352
357,15096,2291105832.49,18,0.00119236883942766
358,12050,1754502433.76,10,0.000829875518672199
359,7991,1081719923.47,12,0.00150168940057565
360,3508,475026460.95,8,0.00228050171037628
361,1441,170127306.87,14,0.00971547536433033
362,504,120469553.48,20,0.0396825396825397
363,14,38027813.68,14,1.0
364,6,7708375.62,6,1.0
365,14,18737996.1,14,1.0
366,10,23250735.88,10,1.0
367,14,6965470.32,14,1.0
368,6,2900938.68,6,1.0
369,14490,3283341857.45,6,0.00041407867494824
370,25429,6337254252.83,18,0.000707853238428566
371,28388,5968864151.18,6,0.000211356911371002
372,29515,5506549073.95,8,0.000271048619346095
373,28853,5407533849.39,12,0.000415901292759852
374,27727,5003598395.76,14,0.000504922999242616
375,26103,5510846318.73,10,0.000383097728230472
376,20122,6138973352.87,4,0.000198787396879038
377,18183,2963739223.12,10,0.000549964252323599
378,37127,5531479167.98,4,0.000107738303660409
379,41759,5847754144.07,16,0.00038315093752245
380,37693,4803245990.13,14,0.00037142174939644
381,14961,2043308095.19,4,0.000267361807365818
382,11829,1657430074.48,8,0.000676303998647392
383,7818,1055020916.85,14,0.00179073931951906
384,3588,443414417.79,6,0.00167224080267559
385,1419,142296140.07,8,0.00563777307963354
386,633,131912135.28,16,0.0252764612954186
387,28,147237648.39,28,1.0
388,18,34064057.06,18,1.0
389,10,25595859.9,10,1.0
390,12,17235988.42,12,1.0
391,12,13642966.84,12,1.0
392,10,7935358.76,10,1.0
393,19269,4577025882.6,4,0.000207587316414967
394,28959,6433780283.85,10,0.000345315791291136
395,22797,3912610392.82,8,0.000350923367109707
396,34075,6436763739.34,8,0.000234776228906823
397,30348,5915512509.77,10,0.000329511005667589
398,26656,5024591202.61,26,0.000975390156062425
399,30223,5917459225.07,12,0.000397048605366774
400,30910,5608205263.28,16,0.000517631834357813
401,33468,5718920109.12,16,0.000478068602844508
402,40218,6596385476.64,12,0.000298373862449649
403,45155,6746761157.95,16,0.000354335068098771
404,36726,4862065083.49,18,0.000490115994118608
405,16604,2252761583.91,10,0.000602264514574801
406,12023,1737107629.18,24,0.00199617399983365
407,7937,970894107.08,6,0.000755953130905884
408,8256,1019370201.37,10,0.00121124031007752
409,483,124249603.63,20,0.041407867494824
410,20,28815915.8,20,1.0
411,16,44434467.26,16,1.0
412,8,6931488.54,8,1.0
413,289,56035634.04,14,0.0484429065743945
414,16,40395346.04,16,1.0
415,16,11738866.76,16,1.0
416,2182,345168018.54,8,0.00366636113657195
417,6,6632519.28,6,1.0
418,6,2758272.86,6,1.0
419,1257,193638577.05,10,0.00795544948289578
420,2620,516175683.2,12,0.00458015267175573
421,14,54903247.38,14,1.0
422,1259,243906571.78,10,0.0079428117553614
423,766,121423443.11,6,0.00783289817232376
424,14,23591968.12,14,1.0
425,28,110298471.23,28,1.0
426,5139,888380417.69,2,0.000389180774469741
427,14,22280093.62,14,1.0
428,2792,369181208.02,6,0.00214899713467049
429,2357,306539468.2,4,0.00169707254985151
430,8,13356935.2,8,1.0
431,1685,176579531.52,6,0.00356083086053412
432,4,4115551.48,4,1.0
433,6,3740353.9,6,1.0
434,8,15066379.4,8,1.0
435,4,3018541.02,4,1.0
436,248,57243868.85,16,0.0645161290322581
437,16,24046445.4,16,1.0
438,12,13988340.3,12,1.0
439,883,90178693.02,12,0.0135900339750849
440,18,106424896.32,18,1.0
441,10,16704956.4,10,1.0
442,1222,150273831.39,12,0.00981996726677578
443,10,9883266.22,10,1.0
444,20,55929981.0,20,1.0
445,64,20604103.08,6,0.09375
446,12,23247205.76,12,1.0
447,10,17027129.52,10,1.0
448,2548,382255817.02,6,0.00235478806907378
449,1194,168249336.65,6,0.0050251256281407
450,16,42903268.1,16,1.0
451,3751,523928034.91,4,0.00106638229805385
452,308,62669683.02,10,0.0324675324675325
453,59,20125779.26,8,0.135593220338983
454,39,13318758.34,6,0.153846153846154
455,824,84116910.54,10,0.0121359223300971
456,18,31949963.72,18,1.0
457,10,4996140.54,10,1.0
458,438,40738860.82,6,0.0136986301369863
459,8,2962101.96,8,1.0
460,59,21889297.82,16,0.271186440677966
461,83,38674234.93,16,0.192771084337349
462,16,12933930.56,16,1.0
463,10,15575691.76,10,1.0
464,16,19647849.88,16,1.0
465,12,20195821.5,12,1.0
466,984,165540424.33,6,0.00609756097560976
467,12,6673898.26,12,1.0
468,12,8427756.38,12,1.0
469,6016,1128548350.45,8,0.00132978723404255
470,12,13929861.7,12,1.0
471,2620,479065942.25,2,0.000763358778625954
472,84,50577039.29,8,0.0952380952380952
473,10,1423133.56,10,1.0
474,2728,578338723.62,8,0.00293255131964809
475,14,4167837.46,14,1.0
476,3755,593405934.91,8,0.00213049267643142
477,10,38321192.76,10,1.0
478,1908,249631132.25,6,0.00314465408805031
479,904,98762802.43,4,0.00442477876106195
480,6,1945259.1,6,1.0
481,14,7476067.6,14,1.0
482,16,7618253.76,16,1.0
483,317,63937791.88,8,0.0252365930599369
484,6,501135.22,6,1.0
485,12,16670389.88,12,1.0
486,8,12307851.5,8,1.0
487,912,112818882.03,14,0.0153508771929825
488,8,11535648.86,8,1.0
489,14,20060606.22,14,1.0
490,3820,770912131.67,10,0.00261780104712042
491,12,9649155.4,12,1.0
492,5119,1172822465.13,6,0.00117210392654815
493,1819,422340538.14,8,0.00439802089059923
494,8,22656512.98,8,1.0
495,3256,722693286.4,16,0.00491400491400491
496,873,162350118.6,6,0.00687285223367698
497,20,44196804.32,20,1.0
498,12,42134942.8,12,1.0
499,10,3823494.9,10,1.0
500,6108,881206032.83,4,0.000654878847413229
501,28,79614672.48,28,1.0
502,313,56704614.49,12,0.0383386581469649
503,1878,186350409.67,10,0.0053248136315229
504,10,10039514.88,10,1.0
505,936,98603049.61,8,0.00854700854700855
506,8,37329805.02,8,1.0
507,14,42107207.22,14,1.0
508,6,1907268.16,6,1.0
509,288,48899871.07,14,0.0486111111111111
510,10,16351972.12,10,1.0
511,6,3040983.82,6,1.0
512,12,24542548.84,12,1.0
513,10,4352810.34,10,1.0
514,8733,1999273152.65,14,0.00160311462269552
515,6,854962.98,6,1.0
516,14,49316030.56,14,1.0
517,1391,233099715.33,6,0.00431344356578001
518,3488,649922857.86,8,0.00229357798165138
519,12,5862921.82,12,1.0
520,3037,589367419.26,12,0.00395126769838657
521,14,11945989.74,14,1.0
522,18631,3670726387.08,14,0.000751435779077881
523,30,69540142.4,30,1.0
524,2664,367784058.74,4,0.0015015015015015
525,8023,956470572.52,2,0.000249283310482363
526,2470,272760266.42,12,0.0048582995951417
527,2697,275898931.96,6,0.00222469410456062
528,937,85319692.74,14,0.0149413020277481
529,33,15241906.52,6,0.181818181818182
530,409,54769365.81,8,0.019559902200489
531,250,57770528.47,14,0.056
532,95,13926809.05,6,0.0631578947368421
533,12,13069443.86,12,1.0
534,531,52014715.13,12,0.0225988700564972
535,6,2535105.66,6,1.0
536,12,7342744.3,12,1.0
537,18,7191162.74,18,1.0
538,3120,803923598.25,10,0.00320512820512821
539,4,556966.14,4,1.0
540,5476,1069628453.07,6,0.00109569028487947
541,12,43310664.08,12,1.0
542,4475,763897085.02,10,0.00223463687150838
543,6,5380517.8,6,1.0
544,9358,1644902213.31,6,0.000641162641590083
545,3562,545060662.95,0,0.0
546,7771,1169423725.34,10,0.0012868356710848
547,2261,359716407.22,8,0.00353825740822645
548,5689,703318157.58,2,0.00035155563367903
549,642,61541864.88,12,0.0186915887850467
550,4804,552312295.48,8,0.00166527893422148
551,949,98573979.62,18,0.0189673340358272
552,1517,149337625.67,10,0.00659195781147001
553,8,4677417.0,8,1.0
554,18,85876715.24,18,1.0
555,144,23050207.14,6,0.0416666666666667
556,6,3120878.82,6,1.0
557,20,19343563.1,20,1.0
558,14,8472680.22,14,1.0
559,10,8614436.24,10,1.0
560,10,4471218.44,10,1.0
561,16,17311068.86,16,1.0
562,10,34103614.62,10,1.0
563,3284,680900659.41,18,0.00548112058465286
564,3546,593339197.85,16,0.00451212633953751
565,5425,929420893.75,12,0.00221198156682028
566,1421,210434744.41,6,0.00422237860661506
567,4356,692432804.61,10,0.00229568411386593
568,14,21012595.98,14,1.0
569,1182,196460391.21,14,0.011844331641286
570,1965,290204523.94,10,0.00508905852417303
571,4256,637073127.54,10,0.00234962406015038
572,18,11261178.0,18,1.0
573,3487,389848074.51,8,0.00229423573272154
574,2614,295795973.7,4,0.00153022188217292
575,8,4362409.58,8,1.0
576,877,81920995.88,14,0.015963511972634
577,364,45191071.07,12,0.032967032967033
578,269,59022160.44,20,0.0743494423791822
579,12,13391113.62,12,1.0
580,58,16815292.89,10,0.172413793103448
581,10,8109043.62,10,1.0
582,775,68649688.11,16,0.0206451612903226
583,16,12437199.9,16,1.0
584,281,42427857.93,8,0.0284697508896797
585,2047,299768066.48,6,0.00293111871030777
586,1581,317120822.11,12,0.00759013282732448
587,2740,543681227.43,6,0.00218978102189781
588,4894,775258607.31,12,0.00245198201879853
589,6245,1070599526.98,2,0.000320256204963971
590,6584,1141494285.49,8,0.00121506682867558
591,57,23057518.83,12,0.210526315789474
592,5373,898961370.63,10,0.00186115764005211
593,4,795846.68,4,1.0
594,6536,998077347.42,10,0.00152998776009792
595,5434,725710623.93,12,0.00220831799779168
596,9319,1459229978.32,8,0.000858461208284151
597,2486,334291994.35,6,0.00241351568785197
598,934,101198178.91,4,0.00428265524625268
599,1816,186384113.39,6,0.00330396475770925
600,18,35814392.02,18,1.0
601,865,86666912.34,10,0.0115606936416185
602,8,5697984.22,8,1.0
603,12,19318593.14,12,1.0
604,8,11736101.32,8,1.0
605,16,10418263.96,16,1.0
606,14,29801780.8,14,1.0
607,8,1402691.26,8,1.0
608,1082,153163443.4,16,0.0147874306839187
609,8,1962933.3,8,1.0
610,1199,151695358.52,12,0.0100083402835696
611,14,7014769.8,14,1.0
612,2677,442827835.17,12,0.00448262980948823
613,45,20714053.12,20,0.444444444444444
614,1278,176103740.92,16,0.0125195618153365
615,8,18864296.14,8,1.0
616,6,17192937.16,6,1.0
617,2680,491921999.56,16,0.00597014925373134
618,8,4093382.08,8,1.0
619,2800,379732051.64,14,0.005
620,8,1470584.12,8,1.0
621,1121,167092597.9,18,0.016057091882248
622,4,1667642.96,4,1.0
623,6,842672.16,6,1.0
624,10,27307081.34,10,1.0
625,24,59187126.16,24,1.0
626,6,265400.04,6,1.0
627,4,7419082.84,4,1.0
628,6,2388645.62,6,1.0
629,20,27300034.54,20,1.0
630,150,33632566.49,4,0.0266666666666667
631,12,34322908.44,12,1.0
632,8,2045006.0,8,1.0
633,8,9469682.56,8,1.0
634,10,19967336.1,10,1.0
635,16,9757174.24,16,1.0
636,12,6594877.6,12,1.0
637,3390,595977588.59,12,0.00353982300884956
638,14,30445090.82,14,1.0
639,14,3833999.26,14,1.0
640,1398,235460464.64,14,0.0100143061516452
641,10,11484847.26,10,1.0
642,1141,153551791.7,8,0.007011393514461
643,14,15829698.56,14,1.0
644,2267,331214212.58,10,0.00441111601235112
645,10,24279751.58,10,1.0
646,20,124559607.04,20,1.0
647,10,9725016.58,10,1.0
648,14,7556887.52,14,1.0
649,263,37659787.22,10,0.0380228136882129
650,16,15453019.1,16,1.0
651,10,27449340.32,10,1.0
652,14,13800111.76,14,1.0
653,8,3335889.22,8,1.0
654,8,4244319.9,8,1.0
655,4,598814.78,4,1.0
656,1965,259853656.6,16,0.00814249363867684
657,10,12898473.72,10,1.0
658,14,22548885.34,14,1.0
659,2500,873676951.75,10,0.004
660,12,1937697.78,12,1.0
661,4877,901440925.14,8,0.0016403526758253
662,2,2936608.7,2,1.0
663,10,3242072.3,10,1.0
664,1125,206521853.94,20,0.0177777777777778
665,10,8904817.3,10,1.0
666,6,1527287.1,6,1.0
667,1400,179970457.4,6,0.00428571428571429
668,8,26890502.8,8,1.0
669,322,58813878.19,8,0.0248447204968944
670,1906,237652009.99,12,0.00629590766002099
671,18,64327964.7,18,1.0
672,153,41032712.71,8,0.0522875816993464
673,445,46009039.61,12,0.0269662921348315
674,14,42027958.24,14,1.0
675,30,42253301.82,10,0.333333333333333
676,8,18117891.12,8,1.0
677,8,44065100.36,8,1.0
678,6,4961854.36,6,1.0
679,72,25048646.98,6,0.0833333333333333
680,22,60114590.72,22,1.0
681,4703,910235264.29,4,0.000850520944078248
682,6,877562.34,6,1.0
683,2192,459245005.17,8,0.00364963503649635
684,4562,1484350041.8,8,0.00175361683472161
685,14,47544533.98,14,1.0
686,4689,831815555.85,16,0.00341224141608019
687,8040,1366713387.51,8,0.00099502487562189
688,7885,1187365885.55,8,0.0010145846544071
689,14,20273406.88,14,1.0
690,4972,702292231.94,12,0.00241351568785197
691,4809,614821524.29,12,0.00249532127261385
692,6898,833578997.72,20,0.00289939112786315
693,4,2965073.02,4,1.0
694,2664,327597102.24,24,0.00900900900900901
695,2827,282980385.48,10,0.00353731871241599
696,6,2382110.8,6,1.0
697,12,7788654.28,12,1.0
698,65,70036302.89,16,0.246153846153846
699,55,16390227.15,16,0.290909090909091
700,6,2189920.66,6,1.0
701,18,25820556.98,18,1.0
702,14,65416667.71,14,1.0
703,8,14723066.04,8,1.0
704,16,31025756.86,16,1.0
705,2362,361371329.1,10,0.00423370025402202
706,4,2401102.9,4,1.0
707,309,59112032.05,10,0.0323624595469256
708,4,6459344.86,4,1.0
709,2313,360113385.39,8,0.00345871162991786
